AvgSpeed,MaxSpeed,MinSpeed,AvgThrottle,MaxThrottle,BrakePercentage,DRSPercentage,AvgRPM,MaxRPM,AvgGear,CorneringSpeed
162.84653008353254,310.0,0.0,46.52049555419584,100.0,22.97872340425532,0.0,9686.834681906827,11803.0,3.9432624113475176,83.0
134.95452183988112,246.0,45.0,29.736639975777248,100.0,23.625730994152047,0.0,9138.445895878112,11782.0,3.1239766081871343,65.665500032
127.53189712426233,262.0,37.0,26.786218959518052,100.0,23.658269441401973,0.0,9053.343321834946,11812.0,2.871851040525739,72.07
125.53992248199894,235.0,44.0,30.747173958241117,100.0,23.085339168490155,0.0,9173.702280599202,12007.0,2.7396061269146608,63.93972209777778
135.43501310061382,256.0,51.0,33.814604965717336,100.0,21.74913693901036,0.0,9340.282382297764,12002.0,3.055235903337169,72.98428562285714
123.69175018669905,258.0,52.0,28.01820533327464,100.0,32.02959830866808,0.0,9377.091244684549,12227.0,2.551797040169133,67.82222222222222
178.20024258951568,293.0,75.0,51.15169819941099,100.0,30.120481927710845,0.0,9989.28126359349,11988.0,4.275602409638554,94.44
150.7043559720011,303.0,0.0,51.87053899974511,100.0,28.157894736842103,0.0,9044.572522992856,11870.0,3.7276315789473684,12.848863418181827
201.8100676289171,305.0,82.0,61.632714057373775,100.0,20.071047957371228,0.0,9953.931502893627,11709.0,5.182948490230906,108.27482221714286
200.22541552280248,306.0,82.0,62.247671858884495,100.0,20.783645655877343,0.0,9950.850051209938,11933.0,5.1396933560477,106.35299635199999
200.29332741154357,308.0,82.0,61.304754967021424,100.0,22.108843537414966,0.0,9933.845693354619,11802.0,5.178571428571429,106.65294788571428
200.2548227091504,307.0,80.0,60.171137813033305,100.0,18.68686868686869,0.0,9972.887504946264,11918.0,5.114478114478114,105.0
199.9556500825178,308.0,79.0,60.9972936261851,100.0,19.649122807017545,0.0,10052.26974315681,11907.0,5.0473684210526315,105.0
199.88140610033633,309.0,79.0,60.495714143144326,100.0,21.41652613827993,0.0,9969.075334676458,11830.0,5.096121416526138,105.0
198.55847843849187,309.0,78.0,60.41180372496488,100.0,20.918367346938776,0.0,9927.780167151383,11775.0,5.127551020408164,106.06125056
199.57310010309882,310.0,79.0,60.16350561137441,100.0,21.561969439728355,0.0,9980.981511342397,11809.0,5.101867572156197,105.99124992
195.97459745138292,309.0,79.0,59.58687827020627,100.0,18.941979522184297,0.0,9905.447333516278,11906.0,5.034129692832765,103.23611022222222
198.95916135537718,310.38749973333336,80.0,59.591953805849506,100.0,20.84063047285464,0.0,9937.717356642746,11770.0,5.101576182136602,104.0
194.74899226456915,325.0,79.0,56.97872917792301,100.0,21.44026186579378,12.111292962356792,9780.255616888424,11820.0,4.981996726677577,98.4062512
196.63256613532508,328.0,75.0,59.6010641221363,100.0,20.76788830715532,2.094240837696335,9899.181276101177,11917.0,5.048865619546248,102.1822372463158
193.13395134303374,308.0,77.0,58.08460415449258,100.0,21.858864027538726,0.0,9851.780800256462,11757.0,4.965576592082616,101.05499904
197.11779387130355,309.0,76.0,59.62119888761467,100.0,21.1340206185567,0.0,9885.1324926333,11789.0,5.0756013745704465,101.99000000000001
185.66815361438066,320.0,73.0,53.46633596025353,100.0,24.7557003257329,7.654723127035831,9635.166728851143,11786.0,4.778501628664495,88.30000000000001
148.9040759292853,303.57500032,0.0,53.29378150292535,100.0,26.417525773195877,0.0,9014.27570391286,12023.0,3.8092783505154637,1.2
199.46159932199703,307.0,81.0,60.98505316309151,100.0,19.793459552495698,0.0,9852.077987506162,11715.0,5.158347676419965,106.0
199.68170917103586,308.0,83.0,60.628220968419946,100.0,18.771929824561404,0.0,9845.205807552562,11618.0,5.187719298245614,104.1406276
201.33879078111607,310.0,80.0,61.64109802675581,100.0,19.689119170984455,0.0,9969.522350673447,11663.0,5.143350604490501,105.0
202.2303073077319,310.0,82.0,61.149711920971654,100.0,20.598591549295776,0.0,9957.951009766626,11916.0,5.211267605633803,106.74934104888888
200.65226927106613,325.3687504,75.0,60.087908066766694,100.0,21.38047138047138,13.299663299663301,9930.996311711993,11785.0,5.158249158249158,104.94687616
197.84245142765505,332.0,77.0,59.92355403205191,100.0,20.13422818791946,2.8523489932885906,9876.652805473992,11747.0,5.083892617449664,103.2124992
199.04370533172644,312.0,80.0,59.613398211086576,100.0,19.755244755244757,0.0,9847.008089607856,11842.0,5.188811188811189,106.61749568
200.42958244986937,327.86249984,79.0,59.47394452317419,100.0,19.16376306620209,7.317073170731707,9850.144074266513,11939.0,5.148083623693379,102.77769633523809
198.32206232276172,331.0,79.0,60.10940004536389,100.0,20.198675496688743,15.397350993377485,9909.381423329065,11828.0,5.049668874172186,101.96749888000001
200.86301698419453,330.0,73.0,59.762260641954676,100.0,21.663778162911612,16.291161178509533,9959.575743575431,11745.0,5.1282495667244365,105.41500153350648
201.03574850682963,330.0,73.0,60.505026874386445,100.0,22.26086956521739,16.17391304347826,9985.163628849461,11961.0,5.130434782608695,103.0
200.22674891533552,332.0,76.0,61.50051540802091,100.0,20.446735395189002,2.7491408934707904,9906.563749913696,11824.0,5.11340206185567,102.41499904000001
200.03563321250118,310.0,77.0,60.786995880767854,100.0,18.727915194346288,0.0,9851.171879497131,11688.0,5.176678445229682,103.89583288888889
200.3226480793274,312.0,79.0,59.96738971520773,100.0,21.196581196581196,0.0,9791.570733706778,11766.0,5.25982905982906,105.00222208
199.17818796637278,310.0,80.0,59.83347627088667,100.0,19.965870307167236,0.0,9775.586202686542,11651.0,5.233788395904437,103.0
200.99923290221398,328.46250048,74.0,60.27682053581369,100.0,21.3768115942029,13.405797101449277,10068.435623423382,11798.0,5.067028985507246,103.0
198.5148368872178,330.0,78.0,59.61468060187696,100.0,21.217712177121772,2.7675276752767526,9792.865737420367,11798.0,5.166051660516605,101.82
198.95935718986732,311.0,80.0,60.22001334598405,100.0,19.314079422382672,0.0,9796.07879737108,11670.0,5.236462093862816,103.075
200.74079777415878,311.0,79.0,61.55301900942067,100.0,17.301038062283737,0.0,9807.052203123167,12031.0,5.242214532871972,104.96892672
201.12932751360873,326.7812496,73.0,61.636139748631194,100.0,19.148936170212767,7.801418439716312,9873.865609585015,11832.0,5.2322695035460995,103.7
196.08022816164453,331.0,78.0,57.39463918188164,100.0,19.471947194719473,16.006600660066006,9898.957631913589,11920.0,5.0,101.41614573333334
201.8746615100318,327.0,80.0,62.07299111776624,100.0,18.29059829059829,2.735042735042735,9921.857792562625,11782.0,5.2153846153846155,107.082000384
198.05493427826187,310.0,78.0,61.549120801250105,100.0,19.006849315068493,0.0,9759.909117874635,11824.0,5.1729452054794525,103.56300211199999
189.53933048827636,308.0,75.0,56.926668772882664,100.0,21.6260162601626,0.0,9608.349095760348,11648.0,4.990243902439024,92.338000384
163.8808654981897,306.8499995428571,0.0,57.40656239260236,100.0,21.030640668523677,0.0,9233.464134900833,11812.0,4.1824512534818945,69.99571401142857
204.42877936009333,312.0,87.0,62.128263006559685,100.0,18.33910034602076,0.0,9904.50310024214,11798.0,5.3166089965397925,109.45500672
203.00871845974638,322.75,80.0,59.828517689367374,100.0,19.12280701754386,7.5438596491228065,9823.777571510218,12085.0,5.321052631578947,106.5481252
178.72614011427328,326.0,81.0,47.721986082095704,100.0,18.478260869565215,2.639751552795031,9674.921895832573,11613.0,4.527950310559007,97.04781232
150.18087722010472,269.0,65.0,32.3127125369203,100.0,18.46553966189857,0.0,9362.818753698632,11685.0,3.624187256176853,91.0
149.47475268038744,265.0,76.0,32.76300959656025,100.0,15.091863517060366,0.0,9157.844891252913,11602.0,3.7283464566929134,90.10352212363637
151.186702611282,271.0,49.0,34.97932200589823,100.0,23.969072164948454,0.0,9450.633799738007,11829.0,3.61340206185567,81.51666666666667
175.86636032134368,291.0,72.0,44.31807298605011,100.0,20.583717357910906,0.0,9746.965962018781,11891.0,4.402457757296467,97.05714285714285
133.7011047220613,262.0,63.0,30.447230750417642,100.0,24.480369515011546,0.0,9104.405381966528,11731.0,3.1374133949191685,74.53863607272727
