AvgSpeed,MaxSpeed,MinSpeed,AvgThrottle,MaxThrottle,BrakePercentage,DRSPercentage,AvgRPM,MaxRPM,AvgGear,CorneringSpeed
184.93954326150777,328.0,0.0,59.57989702193704,100.0,22.57217847769029,0.0,9935.910921404606,11995.0,4.606299212598425,82.9312464
163.29902903853957,323.0,34.0,50.36502531068795,100.0,17.91044776119403,0.0,9423.38958582919,11912.0,3.882893226176808,54.0
192.6162065086729,322.0,64.0,61.36125414518466,100.0,18.867924528301888,0.0,10046.179267410056,11904.0,4.7533692722371965,94.00312512
209.99323160278018,318.0,64.0,66.79489027202435,100.0,15.843023255813954,0.0,10156.405900303464,11931.0,5.351744186046512,110.18666666666667
211.29663871433905,335.0,61.0,65.1167151736675,100.0,16.642120765832104,16.789396170839467,10215.176839684003,12025.0,5.316642120765832,113.84222122666667
208.92795221088895,337.0,59.0,66.08017937505139,100.0,17.41654571843251,17.561683599419446,10198.52338483069,11976.0,5.245283018867925,106.75428571428571
209.10998196781023,315.0,62.0,67.03078444604976,100.0,16.76470588235294,0.0,10103.291620564716,11948.0,5.338235294117647,110.0
206.5768807497242,334.0,60.0,64.8705360195515,100.0,18.89055472263868,17.09145427286357,10103.10710906984,12015.0,5.226386806596702,105.60000000000001
210.6395733597594,337.0,58.0,67.24758977462342,100.0,16.13372093023256,18.6046511627907,10174.913547483422,11863.0,5.324127906976744,105.85875127999999
209.00377543038343,313.0,62.0,67.96063840702895,100.0,16.31504922644163,0.0,10065.516492933593,12116.0,5.39521800281294,107.48571245714285
206.76749891141048,321.0,62.0,64.75722834310601,100.0,18.262150220913107,7.658321060382916,10090.465023021923,11919.0,5.279823269513991,108.37889223111111
208.17236299492203,336.0,60.0,64.50063008651958,100.0,18.025751072961373,17.167381974248926,10148.711889336688,11905.0,5.281831187410587,106.91749952
207.1245395062198,315.0,63.0,65.36268142934547,100.0,17.93400286944046,0.0,10018.678885625905,11924.0,5.327116212338594,107.0
207.80482246939758,313.0,62.0,65.97705855259989,100.0,17.673048600883654,0.0,10112.813237670216,12043.0,5.329896907216495,106.8
207.11425577997238,312.0,61.0,66.23077311244936,100.0,19.06158357771261,0.0,10078.603444643999,11888.0,5.328445747800586,107.05125856361876
206.24953873677953,311.0,63.0,66.54018858995789,100.0,18.06167400881057,0.0,10049.224876220676,11989.0,5.311306901615271,108.0
208.45777570816446,311.0,62.0,68.61751787281709,100.0,16.74074074074074,0.0,10062.466236121058,11839.0,5.328888888888889,104.39250048000001
208.04349423956066,310.0,62.0,66.22065255690323,100.0,17.57754800590842,0.0,10055.950288108841,11821.0,5.34711964549483,106.188999424
206.52199837208084,311.0,61.0,65.89751062737531,100.0,16.43625192012289,0.0,10029.897725125242,11973.0,5.32258064516129,104.4875008
209.07376571255864,312.0,60.0,68.03313833720665,100.0,14.786585365853657,0.0,10090.584204471637,11977.0,5.344512195121951,107.17957028712365
210.48835277855187,312.0,62.0,67.4513024039542,100.0,17.391304347826086,0.0,10093.812340504444,11920.0,5.379310344827586,105.60000000000001
208.25821187335947,311.0,64.0,66.84418111904353,100.0,17.359050445103858,0.0,10094.231259602137,11882.0,5.34272997032641,108.34000117333333
208.18347714815914,311.0,62.0,66.48619600250781,100.0,16.885007278020378,0.0,10067.658714543377,11963.0,5.321688500727802,106.17142857142858
209.04650624746017,313.0,63.0,66.08655634438915,100.0,18.06167400881057,0.0,10075.627461484146,12028.0,5.348017621145375,107.0
209.47924969962418,312.0,62.0,68.14710069076,100.0,14.011799410029498,0.0,10099.853173770227,11894.0,5.315634218289086,109.679001344
208.8764847911483,313.0,60.0,67.12350325740752,100.0,15.263908701854492,0.0,10076.195591966745,11971.0,5.360912981455064,108.68333226666667
208.46661168320526,313.0,60.0,66.52472555249243,100.0,16.835994194484762,0.0,10061.112812802703,11880.0,5.332365747460087,103.951999488
208.31839067454638,311.0,59.0,67.54264952983458,100.0,16.034985422740526,0.0,10057.477226254028,11866.0,5.291545189504373,105.44642742857143
204.32328829432237,312.0,60.0,63.519224134010564,100.0,19.241573033707866,0.0,9939.899248620348,11985.0,5.23876404494382,97.0
160.04155487594923,313.0,0.0,56.543899346152514,100.0,26.3724434876211,0.0,8836.938197829151,11893.0,4.099031216361679,0.0
